geoid,doc,dentist,pop
17031806003,22,5,8109
17031806004,5,9,7604
17031806102,10,11,3973
17031806103,3,2,5238
17031806104,14,3,4206
17031806201,9,10,4196
17031806202,9,14,4550
17031806300,0,1,4960
17031806400,5,0,2494
17031806501,0,0,2773
17031806502,0,6,4205
17031806600,1,0,3490
17031806700,2,2,4409
17031806801,37,15,4225
17031806802,0,1,3300
17031806900,27,13,4713
17031807000,1,13,5736
17031807100,0,2,3817
17031807200,1,3,5912
17031807300,15,18,7191
17031807400,4,4,6518
17031807500,5,1,3189
17031807600,1,6,6540
17031807700,0,8,5933
17031807800,1,3,2624
17031807900,1,4,4074
17031808001,19,9,3646
17031808002,5,1,4870
17031808100,3,7,3931
17031808200,0,0,5196
17031808301,6,4,5625
17031808302,4,3,3934
17031808400,8,12,4411
17031808500,0,2,4073
17031808600,0,4,2015
17031808702,7,1,5504
17031808800,46,2,3955
17031808900,0,3,4101
17031809000,3,1,3976
17031809100,0,1,3387
17031809200,0,0,4611
17031809300,27,3,4816
17031809400,13,29,5804
17031809500,5,1,3670
17031809600,0,2,3301
17031809700,1,1,3649
17031809800,0,1,2717
17031809900,0,0,2855
17031810000,0,4,4896
17031810100,4,0,4253
17031810200,55,3,5739
17031810301,5,0,4002
17031810302,1,0,3250
17031810400,1,18,5350
17031810501,1,3,5049
17031810502,0,2,5164
17031810600,1,6,4717
17031810701,0,0,4916
17031810702,3,1,3918
17031810800,1,4,5324
17031810900,8,9,6429
17031811000,5,10,4296
17031811100,1,5,6520
17031811200,4,1,5270
17031811301,0,1,4845
17031811302,27,3,3778
17031811401,2,4,4842
17031811402,7,5,4433
17031811500,1,0,5895
17031811600,2,2,6213
17031811701,1,0,3858
17031811702,0,0,5124
17031811800,0,1,5399
17031811900,8,10,5738
17031812000,10,13,5434
17031812100,0,0,4560
17031812200,8,11,3942
17031812301,20,25,3972
17031812302,2,0,2818
17031812400,6,0,3491
17031812500,53,2,3375
17031812600,0,2,3706
17031812700,0,2,3216
17031812801,1,0,2943
17031812802,0,2,2444
17031812900,24,6,4749
17031813000,2,1,3873
17031813100,6,0,4538
17031813200,3,2,4251
17031813301,0,0,3502
17031813302,0,1,3934
17031813400,0,0,7551
17031813500,0,2,6994
17031813600,2,0,5334
17031813701,0,1,3780
17031813702,1,0,4263
17031813801,3,3,2893
17031813802,0,0,5130
17031813900,5,1,6329
17031814000,0,1,4746
17031814100,0,4,4544
17031814200,0,0,7375
17031814300,2,1,4884
17031814400,1,1,7654
17031814500,0,2,4978
17031814600,0,0,5723
17031814700,0,0,5646
17031814800,7,6,6466
17031814900,6,9,6181
17031815000,2,1,4131
17031815100,5,0,4435
17031815200,0,6,6967
17031815300,0,3,3617
17031815400,37,7,5502
17031815500,1,0,7989
17031815600,4,7,4973
17031815701,12,11,3927
17031815702,2,4,5128
17031815800,0,0,1566
17031815900,3,2,4392
17031816000,2,2,3330
17031816100,13,2,6445
17031816200,2,2,4192
17031816300,3,5,4800
17031816401,2,4,5142
17031816402,36,0,4404
17031816500,0,1,4438
17031816600,0,0,4828
17031816700,0,3,2809
17031816800,1,2,5368
17031816900,0,2,5885
17031817000,0,1,5459
17031817101,0,0,4542
17031817102,1,0,3189
17031817200,1,1,4684
